review,true_sentiment,aspect_sentiments
really like dress shirt great layering super cute hide traditional holiday year pregnancy weight gain think cute legging boot unfortunately back panel dress not seem vary based size may sound weird tried ability reach forward change two size returned hopeful ordered slightly roomier back,negative,{'fit': 'positive'}
dress really lovely person fit perfect length not short reference busty f dress actually fit xl usually fit tt thing not crazy slip flesh toned color probably swap white one please make like retailer,positive,{'fit': 'positive'}
picture definitely not vest justice saw rack try instantly loved look feel lb size small work vest work ivory black grey red underneath love little bit fur sticking seam back fitted seam give trim look small pocket front well definitely worth asking price,positive,"{'price': 'positive', 'fit': 'positive'}"
fence one quite beautiful color go pic online seems rather faded felt bit wider bottom might flattering otherwise beautifully made fabric great quality wish top better proportion top bottom less bulky still may purchase print beautiful,positive,{'quality': 'positive'}
sweater gorgeous print person color murkier yellow dot really dusty mustard yellow navy smokey navy white background read oatmeal person,neutral,{}
shirt cute casual look fit exactly like model basic retailer fit around waist,positive,{'fit': 'positive'}
love way dress fit definitely flip flop poolside bar dress ordered mango colored one disappointed color resembled dark squash orange not bright looked picture think look nice tan keep plan dress much definitely wrinkle petite got regular fit knee good taste,positive,{'fit': 'positive'}
excited see jean since came petite size short inseam unfortunately ordering returning several pair found actually not petite jean please beware ordering shorter inseam actually not description inseam issue fit like typical paige denim,negative,{'fit': 'positive'}
went wild goose chase jean sold around country finally got last pair store midwest favorite pair jean fit well however price not get loose baggy wear hate need washed dried often fit properly expensive jean not sag abercrombie jeggings fraction price never get loose even wear,neutral,"{'price': 'positive', 'fit': 'positive'}"
,positive,{}
,positive,{}
love shirt huge ordered small drowning unfortunately return,positive,{'fit': 'positive'}
